Index,c_T_M,c_T_Q,c_T_X,c_T_X_1,c_T_X_2,c_T_Y,c_T_Y_1,c_T_Y_2,c_T_Z,c_T_Z_1,c_T_Z_2,c_T_u
10,7.551663314094154e-16,2.18393584462166e-16,1.2781054215180747e-16,2.472456636304677e-16,1.4930733876231677e-16,1.1878867726649813e-16,1.3099501621705122e-16,2.8180913383774125e-16,1.4275332912994662e-16,1.89914992206208e-16,2.164438329480534e-16,7.137580036238904e-17
11,7.550305332923371e-16,2.1833289033450568e-16,1.2778797796376688e-16,2.472074686917974e-16,1.4927977823806378e-16,1.1875078676970712e-16,1.3094244862820576e-16,2.8182668410215963e-16,1.4272657242860743e-16,1.898566612692928e-16,2.1643693273513824e-16,7.136296517775352e-17
12,7.549122841690654e-16,2.1830476533508945e-16,1.2776876304593556e-16,2.471585802853861e-16,1.4925991201014933e-16,1.1873922392228347e-16,1.309346065870934e-16,2.817503248952871e-16,1.4270306159694618e-16,1.8982628917176638e-16,2.1639994307655574e-16,7.135178866542158e-17
13,7.547369911015609e-16,2.1826385624892704e-16,1.2773807361684344e-16,2.471036654726657e-16,1.4922308014427408e-16,1.187176490266228e-16,1.3091462345063865e-16,2.816612010550117e-16,1.426710217130641e-16,1.8979631237982401e-16,2.163326299491797e-16,7.133522054993402e-17
14,7.551209555966309e-16,2.1836401301803784e-16,1.2780632851969965e-16,2.472265395242376e-16,1.4930483311688462e-16,1.1877187611397456e-16,1.309696769264358e-16,2.818371251420609e-16,1.4274518341484912e-16,1.898914708028978e-16,2.1645026399842652e-16,7.13715115920614e-17
15,7.551320216337817e-16,2.1838196546746211e-16,1.2780618998162193e-16,2.472272713522533e-16,1.4930445105756337e-16,1.1878424434962666e-16,1.3099081725311352e-16,2.8179175311489303e-16,1.4274620564617384e-16,1.899016282241345e-16,2.1643878684976522e-16,7.137255751694658e-17
16,7.549614342437896e-16,2.1827676018577283e-16,1.2779451235433565e-16,2.471250719345237e-16,1.493083554094659e-16,1.1873394011030567e-16,1.309187628958077e-16,2.81837662187161e-16,1.427124416798403e-16,1.8980240230728578e-16,2.1646807696941997e-16,7.13564341663866e-17
17,7.550967940541974e-16,2.1835482560848478e-16,1.2779845464897717e-16,2.4723098043719396e-16,1.4929130251313438e-16,1.1876252607606433e-16,1.3095630903049077e-16,2.8184541366750233e-16,1.4273916279843822e-16,1.8987606311936244e-16,2.164520935104952e-16,7.1369227923739e-17
18,7.551186487153005e-16,2.183844103982679e-16,1.277940583459376e-16,2.472596718551732e-16,1.4927797918473602e-16,1.1877495412034088e-16,1.3097659604802418e-16,2.8180930992348864e-16,1.4274338229085952e-16,1.8990223877260122e-16,2.1642804156498009e-16,7.137129355334006e-17
19,7.54987207199504e-16,2.182921188647623e-16,1.2778962666191607e-16,2.471683081758323e-16,1.4929103296707633e-16,1.1873256212742372e-16,1.3091428561685132e-16,2.8186390713913715e-16,1.4271747801918229e-16,1.8981657805790703e-16,2.164646249243171e-16,7.135887014011226e-17
20,7.550522848268627e-16,2.1834004340029641e-16,1.2779307722591663e-16,2.4720932830394753e-16,1.4928749792673425e-16,1.1875647509295367e-16,1.3095003928727483e-16,2.8182704096547165e-16,1.4273101013662644e-16,1.8986452783254855e-16,2.164407533978486e-16,7.136502106017478e-17
