beta_3,beta_4,sigma_3,sigma_4,time
1.5870883520625287e-15,9.525433633170973e-15,6.493777681668784e-14,6.493517416499519e-14,9294435.78926045
7.04079807883584e-15,3.5050286316176917e-15,1.0692586769223935e-13,1.0693787877799271e-13,9297248.135817457
-8.228802498395209e-16,-1.170355048236609e-14,7.324090545244326e-14,7.324004393246469e-14,9300060.466721782
4.7100322225162866e-15,-1.2518671376707535e-14,7.61359960804454e-14,7.613397898337543e-14,9302872.79039985
4.122247293027992e-15,8.614195250655582e-15,7.764857197430377e-14,7.765478017309496e-14,9305685.191435399
5.919739428024982e-15,-4.821503474404712e-15,8.335373445985121e-14,8.336097750552536e-14,9308497.48922505
9.074567693769448e-15,5.0260589972375776e-15,9.291075169774699e-14,9.291642987536931e-14,9311309.920638312
-3.4541398534175393e-15,2.868471251236876e-15,7.214011795686149e-14,7.214757050640183e-14,9314122.208389202
4.61016501782329e-16,-3.2014412331400407e-15,6.932296559068086e-14,6.932466089514602e-14,9316934.770602804
6.075553269953532e-15,1.759777876715183e-15,8.527612933249125e-14,8.526945676242417e-14,9319746.947802167
3.205640587439317e-15,-2.579958440130769e-15,7.595161099024769e-14,7.594778476973913e-14,9322559.31454943
-5.7108508149466485e-15,4.483236551929235e-15,8.476774421411263e-14,8.477063310355041e-14,9325371.762854384
-5.626046739265639e-15,1.269946541650981e-15,5.956551155364375e-14,5.956946733807594e-14,9328184.022462945
4.2394716184963995e-15,-9.468310668581187e-15,6.748989656468526e-14,6.749506470473366e-14,9330996.16226573
6.161633108852346e-15,4.8618449471048284e-15,8.308380113222556e-14,8.309100263339001e-14,9333808.78287027
8.0913679776482e-15,6.218789867918828e-16,8.302483397925985e-14,8.302193171077118e-14,9336621.012291823
-3.711543455309307e-18,-3.998604223672342e-15,1.0049111679752358e-13,1.0049662079433198e-13,9339433.400529932
2.6989967165071713e-15,1.906092360051764e-15,9.463599725786176e-14,9.462923104614308e-14,9342245.72198168
-4.8779669305552055e-15,-5.22023926474182e-16,8.578732368847952e-14,8.578593438839098e-14,9345058.221013183
7.724322077381735e-16,1.0415011703793864e-14,1.0073815534143692e-13,1.0073522974674894e-13,9347870.308522968
-2.775395067119155e-15,4.309497964248663e-15,8.873550883688077e-14,8.873511634846548e-14,9350682.772932753
3.0904625322751944e-15,6.502687125430305e-15,1.1126460941384218e-13,1.1126683969002386e-13,9353495.164229438
5.557062284523287e-15,-4.74158715264503e-15,6.679773781399246e-14,6.679893471830566e-14,9356307.525599396
-2.7172052684071824e-15,-6.702179267628048e-15,8.215560694879133e-14,8.215907044173067e-14,9359119.790611645
4.952257367743438e-16,-5.209826885891914e-15,7.523862997981739e-14,7.523381136597712e-14,9361932.176662568
-3.2312265261823874e-15,4.361946547565522e-15,6.497067483882638e-14,6.496851753374485e-14,9364744.372422462
5.241276295044791e-15,3.2435176157014973e-15,7.10757504679427e-14,7.107075853634733e-14,9367556.949951615
2.967292951374324e-15,-7.596531281600564e-15,7.487410526559597e-14,7.488175468274592e-14,9370369.143236632
4.4025159254463465e-15,-4.914829673187415e-15,7.631140917115914e-14,7.631216985552028e-14,9373181.625905767
1.4907545396814595e-15,1.4546838649575598e-15,7.487495256592393e-14,7.487456408361076e-14,9375993.937265316
2.884517672071194e-15,-5.908748619163126e-15,9.300120231233495e-14,9.300328971193798e-14,9378806.27691392
4.578440794348923e-15,5.131918842672115e-15,8.500406100779783e-14,8.500745308002551e-14,9381618.678365346
-1.1074262141944905e-14,4.638755810602658e-15,7.712797788742596e-14,7.712201684927651e-14,9384431.046235204
-3.160829737065439e-16,7.447255396692118e-15,7.327790086413914e-14,7.328000922392007e-14,9387243.300532062
-8.57463833176326e-16,1.1759414558853294e-14,7.533439350750578e-14,7.533582996443621e-14,9390055.721841792
2.8491826236196743e-14,-5.145719426505422e-14,3.889122379568826e-13,3.888776571669329e-13,9392870.649756309
-1.0156743711158627e-14,-1.2849329931609413e-14,7.561108396201644e-14,7.560891934936894e-14,9395686.044873387
-4.379380524667867e-16,-3.414458517442802e-15,8.784162219712502e-14,8.783994459733418e-14,9398498.29116767
-8.323173639040858e-16,4.4806694275848735e-15,7.982471296014355e-14,7.981907538884956e-14,9401310.761802426
-3.0012053079334485e-15,-4.742496466369766e-15,7.506805528122063e-14,7.506154851074573e-14,9404122.951244807
3.0749339909222065e-15,3.8658923878667976e-15,9.54298856861207e-14,9.542445718455412e-14,9406935.477317646
-3.423996374255707e-15,1.4164144135767016e-14,8.125769066414054e-14,8.125722252218966e-14,9409747.754873725
1.1142909052058576e-14,-1.2068584542404286e-14,8.430186188688006e-14,8.431759412077099e-14,9412560.164562989
-3.9285693418957755e-15,2.9038813783449873e-16,7.397447291932539e-14,7.396831208128439e-14,9415372.511928556
-3.2665802396286093e-16,-3.5920171028941485e-15,7.379038973011193e-14,7.37871955548968e-14,9418184.760990156
-5.8472632641768975e-15,6.035681018375513e-15,7.512281680382108e-14,7.512779533299965e-14,9420997.31931263
5.84438534001897e-15,-3.3862231881760836e-15,6.660160118457808e-14,6.66010856796009e-14,9423809.737618873
3.9241623585924314e-16,-3.233023178995529e-15,7.392091691743101e-14,7.391252985103549e-14,9426621.841444552
-2.003784917257236e-15,-2.001901218718334e-15,6.375029162607966e-14,6.37459574103396e-14,9429434.16577766
4.458534271209912e-15,-1.3103419739934902e-14,7.94907910028401e-14,7.948094440483645e-14,9432246.680960152
4.407987885334624e-16,-2.4721191764232035e-15,7.575013397352376e-14,7.575774408673661e-14,9435058.890983535
4.200954798203021e-16,2.3268185041970292e-15,6.962087991921848e-14,6.961741279314774e-14,9437871.221624894
-5.831348896300254e-15,2.6530503749025906e-15,6.638922867922502e-14,6.639351870154979e-14,9440683.59827731
5.088036881885561e-15,9.689715874450998e-16,7.269394376371704e-14,7.269060765002185e-14,9443496.635628045
-2.4282182971264426e-15,4.28502282795297e-15,7.176563309324215e-14,7.176461238020266e-14,9446308.539759872
-2.980121478307042e-16,-6.120367168051267e-15,9.559211197905813e-14,9.559444357880267e-14,9449120.733226383
-4.4999627449962255e-15,2.7619134084003206e-16,7.227352683557797e-14,7.226246654329084e-14,9451933.176950488
-4.9996573896364465e-15,1.0947216816632267e-14,7.83093586727436e-14,7.830509230889566e-14,9454745.471805623
-7.369527713360569e-15,-2.3966257178484162e-15,8.207616408092663e-14,8.207928712246239e-14,9457557.63133934
7.962210345186844e-16,1.919691983633062e-15,7.092237127915358e-14,7.09268020617449e-14,9460370.067521568
-1.0656018558654506e-14,2.0257555499513896e-15,9.573372279484933e-14,9.573370506057989e-14,9463182.31451724
6.276242317136581e-15,4.184332360889482e-15,8.286559918806774e-14,8.28608459261544e-14,9465994.878974833
5.1956409351286624e-15,5.083369691902306e-15,9.728378491277445e-14,9.728975264099495e-14,9468807.120560681
2.4709255555205573e-14,3.935478577726879e-14,1.0777983514436844e-13,1.0777955251101127e-13,9471619.796050947
9.025478176835636e-16,1.1679112257704624e-15,7.968991291656729e-14,7.969111182581685e-14,9474431.876682743
1.0939855905338903e-14,-8.02054141248543e-15,7.930436066583956e-14,7.929940694139758e-14,9477244.163675562
1.9567486006298995e-15,7.826536141906753e-15,8.362909434506668e-14,8.363585773814786e-14,9480056.58755121
6.798116350698521e-16,-7.184613942644975e-15,8.143689711124273e-14,8.144239414079123e-14,9482868.84824133
2.088538353729463e-15,-1.5669239492344638e-15,8.010210922349194e-14,8.010709609358111e-14,9485681.347340863
-4.3400826454871725e-15,7.919336733251979e-15,8.393528122777209e-14,8.39344841230971e-14,9488493.69225681
2.319995579837556e-14,-1.0395880235420382e-14,1.0431407420924415e-13,1.0431578718621075e-13,9491305.952167064
-2.6369463542382888e-15,-3.072935536887096e-16,1.1610868253505658e-13,1.1611150179331263e-13,9494118.135493133
-5.245019392687585e-16,2.511890724267776e-15,7.157471941937444e-14,7.156652654817405e-14,9496930.660591478
-1.0683254477981494e-15,-7.0561382625034404e-15,8.291221216119569e-14,8.291180222651871e-14,9499743.168423612
-4.787666174655649e-15,9.934532037128355e-15,8.436778868807073e-14,8.43690081984749e-14,9502555.333071152
6.253946207638551e-15,7.183110579281377e-15,7.207606047516858e-14,7.207643801342028e-14,9505367.775567103
-4.790322523288978e-16,-2.8000357674141573e-15,7.943997448561293e-14,7.944955851899391e-14,9508180.30155819
