Index,c_T_M,c_T_Q,c_T_X,c_T_X_1,c_T_X_2,c_T_Y,c_T_Y_1,c_T_Y_2,c_T_Z,c_T_Z_1,c_T_Z_2,c_T_u
13,2.3931834391735464e-16,5.664685340313515e-17,4.97673295404668e-17,6.414186794593206e-17,7.888775392460442e-17,3.312090055470272e-17,3.3971419198927655e-17,1.4894896987238276e-16,4.524340180290534e-17,4.926117032654116e-17,1.1437763462418484e-16,2.2619570852188676e-17
14,2.3934380115454e-16,5.664604656805791e-17,4.9768175814882636e-17,6.41488972670711e-17,7.887805109877705e-17,3.311675430142448e-17,3.396672492550009e-17,1.4896755597309728e-16,4.5237506588973656e-17,4.9251980923745896e-17,1.143974311691815e-16,2.262197698525307e-17
15,2.3932215824534173e-16,5.664632482762435e-17,4.9764023842559376e-17,6.412215397743393e-17,7.891128956962943e-17,3.312949335721673e-17,3.398121759693216e-17,1.4890466611174252e-16,4.5241930022686235e-17,4.9258947830566477e-17,1.143816757325698e-16,2.2619931369735078e-17
16,2.393287086048241e-16,5.664674770815464e-17,4.976681628252168e-17,6.413874200917419e-17,7.889152581174768e-17,3.312224572393837e-17,3.397295206678625e-17,1.4894211167762247e-16,4.5241268969793475e-17,4.925781290662309e-17,1.1438520298712237e-16,2.262055048784359e-17
17,2.3932468078496744e-16,5.664684586020679e-17,4.9767766601422145e-17,6.414448707041035e-17,7.88846225494232e-17,3.311967094158044e-17,3.397001749668159e-17,1.4895528539748245e-16,4.5242175794627946e-17,4.92592224333591e-17,1.1438220934637724e-16,2.262016979175847e-17
18,2.393383048354992e-16,5.664687929653842e-17,4.9765586903931115e-17,6.413071908231223e-17,7.890156313805919e-17,3.3126115515013245e-17,3.397735310797535e-17,1.489231360866212e-16,4.523966230387071e-17,4.9255233664995633e-17,1.1439153516975756e-16,2.2621457491527955e-17
19,2.3933078660894906e-16,5.664669951201905e-17,4.976651987081752e-17,6.413704899407435e-17,7.889349580611408e-17,3.312297736157507e-17,3.3973787531060945e-17,1.4893823660975026e-16,4.524084800323082e-17,4.925714994051867e-17,1.1438670113095095e-16,2.2620746893855624e-17
20,2.39313896354282e-16,5.664659426996132e-17,4.976664904794583e-17,6.413808102770078e-17,7.889208968373768e-17,3.312238200428758e-17,3.397311307920166e-17,1.4894093540335364e-16,4.524389256298168e-17,4.9261995518341645e-17,1.1437523484579036e-16,2.261915048337618e-17
21,2.39344086649769e-16,5.664684618338468e-17,4.9766637939515635e-17,6.413743548682844e-17,7.889324684330641e-17,3.312295334057885e-17,3.397375483587348e-17,1.4893880744721345e-16,4.523851103235228e-17,4.925342024227972e-17,1.1439563914429488e-16,2.2622003969308926e-17
22,2.393280324591068e-16,5.664676914385617e-17,4.9766532173439856e-17,6.413695891695365e-17,7.889371247307807e-17,3.312309672898244e-17,3.397392090280484e-17,1.489378517765965e-16,4.5241440200305166e-17,4.925807963361608e-17,1.1438463045885404e-16,2.2620486580807844e-17
23,2.3932082441153384e-16,5.66467329135319e-17,4.976586721785362e-17,6.413279775594797e-17,7.889880942491309e-17,3.312498931647068e-17,3.397607576151622e-17,1.489283642863888e-16,4.52427634221852e-17,4.926017707166851e-17,1.1437975342438296e-16,2.261980530021684e-17
24,2.3933368102979403e-16,5.664637775665617e-17,4.9767050868966557e-17,6.414115425585862e-17,7.88879717687089e-17,3.3120717076878654e-17,3.3971225950558546e-17,1.4894857116763495e-16,4.523985864678786e-17,4.925565049436683e-17,1.143894881533466e-16,2.2621020464850256e-17
