beta_3,beta_4,sigma_3,sigma_4,time
3.477095759643075e-06,-7.742103198258454e-06,1.2566361057138183e-06,1.2566533642718082e-06,1468490.2051757036
-9.00679623069937e-06,-7.690252191618945e-07,1.5096967300671571e-06,1.5098055013525271e-06,1470990.2446705166
2.452856619354026e-07,3.8534273368810383e-07,1.5137409747258469e-06,1.513872331890334e-06,1473490.2427599602
9.625240717870065e-07,3.0312892961192e-07,1.533485760355736e-06,1.5335579361213228e-06,1475990.410584677
8.442499638266263e-06,8.160803038584263e-07,1.2484603498355508e-06,1.2484296846991894e-06,1478490.233647316
2.6382217116511973e-07,3.687602198632491e-06,1.5316826983938286e-06,1.5316905583234166e-06,1480990.3333159399
7.176977946831159e-06,-1.9207910734776817e-06,1.3916859884161271e-06,1.3917473344041882e-06,1483490.2726581763
-5.800140741173756e-06,2.4132176064072388e-06,1.6000525529994959e-06,1.600085024978147e-06,1485990.3109281173
-3.930733898391055e-06,5.523039030757232e-07,1.4769730311469123e-06,1.4770380677984178e-06,1488490.2927358018
-2.5866440876402335e-06,7.523595569194874e-06,1.5927186942093976e-06,1.5928368048433572e-06,1490990.2947851233
-2.320318972298592e-06,1.2198837613928694e-06,1.5149180519354448e-06,1.5148837413803776e-06,1493490.3691759014
4.598535563355754e-06,4.760735754652505e-06,1.5923434552819616e-06,1.59227841087254e-06,1495990.249351044
-2.6063104682688248e-06,-9.809500623618594e-07,1.998714101888684e-06,1.9987510150087673e-06,1498490.3324082328
-6.22111191762661e-06,-1.5361946782771062e-06,1.7716073692872122e-06,1.7716430687630793e-06,1500990.3349622109
4.251467703809473e-06,6.535399515419791e-06,1.432626110516458e-06,1.4325292360000042e-06,1503490.3401401893
-2.7928692494992003e-06,-1.5184227013150673e-06,1.2732631422807458e-06,1.2733091910995424e-06,1505990.3518811516
1.8404818097684511e-06,-4.424440938001821e-06,1.2110308547028409e-06,1.2110505079025715e-06,1508490.4100761146
